A_CpG_ID	TCGA-3G-AB0T-01A	TCGA-XM-A8RH-01A	TCGA-ZB-A96M-01A	TCGA-4V-A9QM-01A	TCGA-4X-A9FB-01A	TCGA-X7-A8DE-01A	TCGA-5G-A9ZZ-01A	TCGA-X7-A8M0-01A	TCGA-XM-A8RI-01A	TCGA-XU-AAY1-01A	TCGA-3Q-A9WF-01A	TCGA-4X-A9FD-01A	TCGA-YT-A95E-01A	TCGA-XM-AAZ3-01A	TCGA-X7-A8M3-01A	TCGA-X7-A8M4-01A	TCGA-X7-A8M1-01A	TCGA-4V-A9QT-01A	TCGA-4V-A9QN-01A	TCGA-XU-A931-01A	TCGA-XU-A92V-01A	TCGA-ZB-A96E-01A	TCGA-X7-A8D6-01A	TCGA-YT-A95G-01A	TCGA-ZC-AAAA-01A	TCGA-XM-A8RD-01A	TCGA-XU-AAXY-01A	TCGA-3G-AB14-01A	TCGA-X7-A8D9-01A	TCGA-4V-A9QQ-01A	TCGA-ZB-A96C-01A	TCGA-X7-A8DC-01A	TCGA-X7-A8D7-01A	TCGA-X7-A8M6-01A	TCGA-X7-A8DD-01A	TCGA-ZB-A96K-01A	TCGA-ZB-A96H-01A	TCGA-XU-A92X-01A	TCGA-XU-A92Q-01A	TCGA-X7-A8DJ-01A	TCGA-YT-A95D-01A	TCGA-ZT-A8OM-01A	TCGA-4X-A9F9-01A	TCGA-ZB-A963-01A	TCGA-4V-A9QW-01A	TCGA-ZB-A961-01A	TCGA-XU-A92T-01A	TCGA-4V-A9QL-01A	TCGA-4X-A9FC-01A	TCGA-3S-A8YW-01A	TCGA-5U-AB0E-01A	TCGA-XU-AAXZ-01A	TCGA-3G-AB0Q-01A	TCGA-4V-A9QX-01A	TCGA-ZB-A96F-01A	TCGA-XU-AAXW-01A	TCGA-XM-AAZ2-01A	TCGA-XU-A930-01A	TCGA-X7-A8DB-01A	TCGA-XM-A8R9-01A	TCGA-ZL-A9V6-01A	TCGA-YT-A95H-01A	TCGA-ZB-A96V-01A	TCGA-4V-A9QJ-01A	TCGA-3S-AAYX-01A	TCGA-ZB-A965-01A	TCGA-ZB-A96B-01A	TCGA-XU-AAXX-01A	TCGA-X7-A8M7-01A	TCGA-XU-AAY0-01A	TCGA-YT-A95F-01A	TCGA-X7-A8DF-01A	TCGA-4V-A9QS-01A	TCGA-XU-AAXV-01A	TCGA-XH-A853-01A	TCGA-3G-AB19-01A	TCGA-5K-AAAP-01A	TCGA-ZB-A96O-01A	TCGA-XM-AAZ1-01A	TCGA-ZB-A96G-01A	TCGA-X7-A8M5-01A	TCGA-5V-A9RR-01A	TCGA-ZC-AAAH-01A	TCGA-X7-A8M8-01A	TCGA-XM-A8RC-01A	TCGA-X7-A8DI-01A	TCGA-ZC-AAA7-01A	TCGA-ZB-A96L-01A	TCGA-XU-A92W-01A	TCGA-ZB-A96Q-01A	TCGA-XU-A92R-01A	TCGA-ZC-AAAF-01A	TCGA-XM-A8RL-01A	TCGA-5U-AB0D-01A	TCGA-3T-AA9L-01A	TCGA-ZB-A96A-01A	TCGA-XU-A92U-01A	TCGA-4V-A9QI-01A	TCGA-XM-A8RG-01A	TCGA-XU-A92Y-01A	TCGA-XU-A933-01A	TCGA-XU-A92Z-01A	TCGA-XU-A936-01A	TCGA-ZB-A96D-01A	TCGA-ZB-A966-01A	TCGA-3G-AB0O-01A	TCGA-ZB-A962-01A	TCGA-XM-A8RB-01A	TCGA-ZB-A964-01A	TCGA-XM-A8R8-01A	TCGA-XU-A932-01A	TCGA-4V-A9QR-01A	TCGA-ZB-A96I-01A	TCGA-ZB-A96R-01A	TCGA-4X-A9FA-01A	TCGA-XM-A8RE-01A	TCGA-X7-A8DG-01A	TCGA-X7-A8D8-01A	TCGA-4V-A9QU-01A	TCGA-XM-A8RF-01A	TCGA-XU-A92O-01A	TCGA-ZB-A96P-01A	TCGA-5U-AB0F-01A	TCGA-ZB-A969-01A
cg00010242	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00044501	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00081852	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00090612	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00110695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00114618	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00116558	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00178785	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00241482	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00247803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
